Term	es	nes	pval	fdr	geneset_size	matched_size	genes	ledge_genes
REACTOME_LATE_PHASE_OF_HIV_LIFE_CYCLE	0.4728950374605466	3.4252939169296064	0.004282655246252677	0.0896727236819314	104	101	GTF2A2;XPO1;NUP133;NCBP2;NUP210;NUPL1;VPS37B;VPS28;RANGAP1;NUP43;NUP88;TSG101;TAF11;SUPT4H1;SSRP1;TCEB2;VPS37C;RANBP2;TAF4;RANBP1;NUPL2;POLR2D;NUP37;TAF6;TCEB1P3;TAF12;POM121;RNGTT;TAF9;NUP54;ELL;NUP155;NUP50;NUP62;CCNH;CCNT1;NMT2;GTF2H2;RAN;CTDP1;POLR2C;POLR2J;AAAS;CDK7;RPS27A;RCC1;UBA52;RAE1;ERCC2;GTF2F1;MNAT1;RNMT;WHSC2;NCBP1;CDK9;GTF2H2B;TCEB3;RDBP;ERCC3;POLR2L;GTF2A1;NUP188;POLR2F;SUPT16H;POLR2G;VPS37A;TCEA1;TAF1;NUP214;TPR;NMT1;TCEB1;TAF5;NUP107;TBP;POLR2H;COBRA1;POLR2A;TAF10;NUP85;SUPT5H;POLR2E;TAF4B;GTF2E2;NUP205;NUP35;GTF2H1;POLR2B;GTF2H4;GTF2H3;POLR2I;GTF2B;TH1L;GTF2F2;CCNT2;GTF2E1;POLR2K;VPS37D;NUP153;NUP93;SEH1L	GTF2A2;XPO1;NUP133;NCBP2;NUP210;NUPL1;VPS37B;VPS28;RANGAP1;NUP43;NUP88;TSG101;TAF11;SUPT4H1;SSRP1;TCEB2;VPS37C;RANBP2;TAF4;RANBP1;NUPL2;POLR2D;NUP37;TAF6;TCEB1P3;TAF12;POM121;RNGTT;TAF9;NUP54;ELL;NUP155;NUP50;NUP62;CCNH;CCNT1
REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS	0.5277715888986527	3.4184955282636773	0.011853448275862068	0.09001854190458129	27	26	CCT3;FBXW5;FBXL5;FBXW4;TCP1;FBXL3;CCT6A;CCT8;FKBP9;KIF13A;KIFC3;CCT2;CCT4;AP3M1;FBXW2;NOP56;FBXW7;XRN2;SPHK1;FBXO6;LONP2;USP11;CCT5;CCT7;ARFGEF2;FBXO4	CCT3;FBXW5;FBXL5;FBXW4;TCP1;FBXL3;CCT6A;CCT8;FKBP9;KIF13A;KIFC3
BIOCARTA_TFF_PATHWAY	0.5768943763338571	3.4228528411403136	0.009473684210526316	0.0900477700512875	21	21	GRB2;AKT1;RHOA;SHC1;PTK2;HRAS;SOS1;BAD;CTNNB1;CASP9;ITGB1;PIK3CA;CYCS;GH1;PIK3CG;APAF1;PIK3R1;MAPK3;EGFR;MAPK1;GHR	GRB2;AKT1;RHOA;SHC1;PTK2;HRAS;SOS1;BAD;CTNNB1;CASP9;ITGB1
NUCLEAR_ENVELOPE	0.5090503560525085	3.5364251634873045	0.002061855670103093	0.0900778879059747	73	71	XPO1;NUP133;RTN4;SCRN1;RANGAP1;LBR;NUP88;KPNB1;TMEM48;NPC1;SNUPN;IPO5;BNIP3;RANBP2;PARP1;EPC1;BNIP2;NUP54;BCL2;NUP50;NUP62;MATR3;IPO7;NUP98;KPNA1;PRICKLE1;SUMO1;MRPL19;PTGER3;POLA1;CBX5;AAAS;SENP2;RAE1;TMPO;BNIP3L;NUTF2;EIF5A;SP140;TRIM27;NUP160;RETSAT;GUCY2F;NRM;CENPF;SREBF1;ATF6;NUP214;FAM156A;GLE1;TPR;KPNA3;PSEN1;PSEN2;MYO6;NUP107;BNIP1;LEMD3;XPO7;WTAP;NXT1;AGFG1;DHCR7;NARF;EMD;GUCY2D;HTATIP2;LMNB1;DDX19B;GNAZ;NUP153	XPO1;NUP133;RTN4;SCRN1;RANGAP1;LBR;NUP88;KPNB1;TMEM48;NPC1;SNUPN;IPO5;BNIP3;RANBP2;PARP1;EPC1;BNIP2;NUP54;BCL2;NUP50;NUP62;MATR3;IPO7;NUP98;KPNA1;PRICKLE1;SUMO1;MRPL19;PTGER3;POLA1;CBX5;AAAS
REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS	0.46906473605262033	3.4196568101072033	0.0021691973969631237	0.09010727008275243	84	81	KHSRP;PSMB5;PSMA7;PSMC6;XPO1;YWHAZ;PABPC1;PSMA5;PSMD6;ANP32A;EXOSC6;HSPA8;PSME4;PSMC3;AKT1;PSMD10;HNRNPD;XRN1;MAPK11;PSMA1;EXOSC3;EXOSC5;PSMB2;PARN;DCP1A;PSMD12;PSMD11;EXOSC7;TNFSF13;RPS27A;PSMC2;EXOSC1;PSMB8;PSME2;PSMB10;UBA52;PSMD5;PSMD3;TNPO1;PSMD13;ELAVL1;EIF4G1;PSMF1;PSMB4;PSMB6;PSMD8;PSMB3;HSPA1B;PSMB9;PSMD4;EXOSC2;NUP214;PSMD9;PSMC1;PSME1;PSMB7;PSMD14;EXOSC4;PSMA2;PRKCD;PSMD1;PRKCA;MAPK14;EXOSC8;PSMD7;PSMA3;PSMD2;PSMA8;PSMC4;HSPB1;PSMB1;DIS3;DCP2;PSMA6;PSMC5;YWHAB;PSMA4;ZFP36L1;ZFP36;MAPKAPK2;EXOSC9	KHSRP;PSMB5;PSMA7;PSMC6;XPO1;YWHAZ;PABPC1;PSMA5;PSMD6;ANP32A;EXOSC6;HSPA8;PSME4;PSMC3;AKT1;PSMD10;HNRNPD;XRN1;MAPK11;PSMA1;EXOSC3
REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_LAGGING_STRAND	0.6043135898917824	3.425352223792077	0.005154639175257732	0.09032084012314139	15	15	LIG1;PCNA;RPA2;POLD2;RPA3;POLA1;POLA2;FEN1;POLD1;POLD4;PRIM1;PRIM2;RPA1;DNA2;POLD3	LIG1;PCNA;RPA2;POLD2;RPA3
MRNA_METABOLIC_PROCESS	0.5406381010620662	3.5188375963170984	0.0020181634712411706	0.09035912181920558	84	66	TRA2A;CPSF1;SFPQ;NONO;KHSRP;DHX15;LSM1;UPF2;SMG6;PABPC1;SNRPD1;SMG1;PAIP1;LSM3;HNRNPA0;SRPK2;SMG5;SF1;SNRPD2;SPOP;RNGTT;CPSF3;CRNKL1;NUDT21;SF3B3;SNW1;HNRNPR;CWC15;AUH;GEMIN8;GSPT1;CSTF3;SLU7;SF3A3;PHF5A;PRPF31;SLBP;RNMT;NCBP1;PRPF18;LSM5;EFTUD2;TXNL4A;HSPA1B;GEMIN5;SRPK1;USP39;GEMIN7;GEMIN6;SMNDC1;GRSF1;CPSF6;PPARGC1A;DHX38;DDX20;SF3A1;SF3A2;KHDRBS1;ELAVL4;SMG7;CSTF1;KIN;PTBP1;SSB;CSTF2;ZFP36	TRA2A;CPSF1;SFPQ;NONO;KHSRP;DHX15;LSM1;UPF2;SMG6;PABPC1;SNRPD1;SMG1;PAIP1;LSM3;HNRNPA0;SRPK2;SMG5;SF1;SNRPD2;SPOP;RNGTT;CPSF3;CRNKL1;NUDT21;SF3B3;SNW1;HNRNPR;CWC15;AUH;GEMIN8;GSPT1;CSTF3;SLU7
KEGG_P53_SIGNALING_PATHWAY	0.41241166300000265	3.4159509759580304	0.004439511653718091	0.09046074926953221	69	65	SESN1;SESN3;CCNG1;CHEK2;ATR;SIAH1;PERP;TP53I3;RFWD2;RRM2B;MDM4;TNFRSF10B;CCNE2;CCND3;ZMAT3;BBC3;CASP8;CD82;CHEK1;CASP9;SHISA5;CDK6;RCHY1;PTEN;SERPINB5;CDKN2A;CASP3;CCND1;IGF1;TP53;GADD45B;RRM2;DDB2;BID;RPRM;SERPINE1;CDK4;CYCS;GTSE1;TP73;THBS1;APAF1;CCNG2;CCNB1;MDM2;GADD45A;PPM1D;CCNB3;FAS;BAI1;STEAP3;IGFBP3;SESN2;CCNB2;SFN;PMAIP1;ATM;GADD45G;CCNE1;BAX;CDK2;TSC2;CCND2;EI24;CDKN1A	SESN1;SESN3;CCNG1;CHEK2;ATR;SIAH1;PERP;TP53I3;RFWD2;RRM2B;MDM4;TNFRSF10B;CCNE2;CCND3;ZMAT3;BBC3;CASP8;CD82;CHEK1
MACROMOLECULE_BIOSYNTHETIC_PROCESS	0.3721529582951698	3.385501439229623	0.0054466230936819175	0.09048168312618994	321	315	UGDH;MRPL3;COPS5;RPS27;SERP1;DPM1;RPL30;KARS;TSPAN8;ALG8;RPL8;EIF3G;GHRL;TSTA3;RPL4;RPL39;PIGS;RPL18;EIF3E;PIGH;EIF4G2;YARS;RRBP1;EIF3D;MRPS24;EIF3H;TNIP1;HRSP12;MRPL51;RPL22;RPS5;TLR6;GLMN;RPL7;GYG2;DHPS;RPL18A;MTIF3;DPM2;DPM3;MTIF2;CSGALNACT1;PAIP1;SEPSECS;IL17F;EIF3C;RPL29;ALG5;RPS17;EIF2S3;RPL7A;FARSB;SIGIRR;RPS3;RPL9;AARS;NECAB3;PGGT1B;IL27;SFTPD;CHST13;PABPC4;GMDS;POMGNT1;ALG12;MAGT1;RPL26;EIF2B4;RPL24;LTB;RPS19;RPL13;MRPL55;RPS10;RPL23A;RPL19;WARS;GCNT4;EIF2B1;CD28;PMM2;APBB1;RPL5;ATF4;GALNT1;A4GNT;PIGA;EEF1A1;RPS4Y1;STT3A;AIPL1;KEL;COG7;EIF1AX;ETF1;RPS9;RPL15;RPN1;PIGT;INHBA;STT3B;MTRF1;MRPL41;EIF3J;FOXP3;TSC1;ALG6;IL17A;COG3;DARS;EIF2AK1;NACA;CHST11;RPL14;TLR4;EIF3A;PIGO;FUT5;LIPA;PIGY;RPL41;MGAT4A;FUT4;BCL10;B4GALT1;ALK;FUT7;GYPC;PAIP2B;SDF2;TLR3;CHM;ACN9;EIF2B3;GLCE;PIGK;MRPS7;PAIP2;RPL35;ST8SIA3;PIGF;EIF4B;GALNT2;RPS2;B3GALNT1;EXT1;PIGG;EIF5A;ALG1;IL12B;CHST6;APOA1;CHST12;DYRK2;FUT10;RPL3;CHST9;TLR8;LIPC;TUSC3;EIF3I;FURIN;PIGC;GALNT5;PRG3;MGAT4B;GAL3ST1;HAS1;TM4SF4;B3GALT5;RPL38;FUT6;KRT7;FUT8;FUT2;NANP;MAST2;EXT2;ALG2;IL10;RPL37;XYLT1;LRP2;TLR1;GCNT1;UPF1;ALAS2;NLRP12;FUT9;PTPRC;TM4SF5;CHST3;RPS11;APOA2;INHA;GYS2;EIF3B;RPL34;RPL21;HBS1L;CD276;MARS2;COG2;B3GNT5;SARS2;EIF4A2;EIF2AK3;TUFM;TLR9;MAN1C1;IL9;LARGE;GCK;GPAA1;B4GALT7;TRAK1;MPDU1;GHSR;PFKFB1;EIF4H;ASMT;HS3ST3B1;RPL6;SPN;SLC25A10;PIGU;EIF4G3;B3GALT2;RARS;B3GNT8;INHBB;GALNT6;SAMD4A;B3GALT6;IL18;PIGZ;AZU1;EBI3;ATG7;FARS2;UAP1;TSPAN7;MRPL52;NOD1;RPS6KB2;METAP1;HSPB1;EIF5;TLR7;RPL28;EIF2C1;RPL3L;IL29;TNFRSF8;IL6;CEBPG;LALBA;POMT1;EREG;MAN1A2;PPARGC1A;ST8SIA4;DAZ1;DPH1;NDST1;EIF3F;ABCF1;EIF1B;RPL27A;MRPL10;MRPL23;GALNT7;BOLL;EIF2B2;DDX25;RPS12;DAZL;B3GALT4;FNTB;IGF2BP2;LDLR;FNTA;IRF4;EIF2B5;RPS3A;EIF2A;PIGV;GCNT2;DOLPP1;EIF4A3;CHST8;EIF1;POFUT1;GCNT3;PIGB;FUT1;HS6ST1;CSGALNACT2;CD37;EIF2AK4;RPL31;NDUFA13;OGT;BCL3;HS3ST5;TRNAU1AP;CHST7;TSFM;YBX2;EEF2K;RPL11;IL4;BACE2;ST8SIA2;B3GAT2	UGDH;MRPL3;COPS5;RPS27;SERP1;DPM1;RPL30;KARS;TSPAN8;ALG8;RPL8;EIF3G;GHRL;TSTA3;RPL4;RPL39;PIGS;RPL18;EIF3E;PIGH;EIF4G2;YARS;RRBP1;EIF3D;MRPS24;EIF3H;TNIP1;HRSP12;MRPL51;RPL22;RPS5;TLR6;GLMN;RPL7;GYG2;DHPS;RPL18A;MTIF3;DPM2;DPM3;MTIF2;CSGALNACT1;PAIP1;SEPSECS;IL17F;EIF3C;RPL29;ALG5;RPS17;EIF2S3;RPL7A;FARSB;SIGIRR;RPS3;RPL9;AARS;NECAB3;PGGT1B;IL27;SFTPD;CHST13;PABPC4;GMDS;POMGNT1;ALG12;MAGT1;RPL26;EIF2B4;RPL24;LTB;RPS19;RPL13;MRPL55;RPS10;RPL23A;RPL19;WARS;GCNT4;EIF2B1;CD28;PMM2;APBB1;RPL5;ATF4;GALNT1;A4GNT;PIGA;EEF1A1;RPS4Y1;STT3A
MICROSOME	0.4460169351142187	3.3900421407006034	0.011098779134295227	0.09051025415632012	42	40	STX2;VCP;TMED10;CYP39A1;HSPA13;GBA2;COPA;HSD17B3;SSR3;CYP3A4;POMGNT1;CYP2A6;SLC35B1;CYP2C19;ATP2A2;ERO1L;MGST2;CYP2C9;OAS3;HSD3B2;RDH16;HSD3B1;AADAC;HSP90B1;STX16;DHRS9;TMED2;APOB;CYP4A11;FMO3;PTGS1;LTC4S;DCT;STS;SLC9A6;CYP3A5;OAS2;MGST3;COMT;IRS1	STX2;VCP;TMED10;CYP39A1;HSPA13;GBA2;COPA;HSD17B3;SSR3;CYP3A4;POMGNT1
